as_of_date,symbol,recomputed_rank,recomputed_ticket_score,recomputed_market_score,persisted_catalyst_score,pool_status,pool_size,universe_source,catalyst_policy,t1,t3,t5,t10,t1_source
2026-05-26,GS,1,0.4988026292,0.6650701722,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.001969657179,0.03135300297,0.07531160987,0.04241328458,kline_close_unadjusted
2026-05-26,WELL,2,0.453973435,0.6052979133,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.01810846743,-0.05868060331,-0.1044331362,-0.05207903544,kline_close_unadjusted
2026-05-26,KDP,3,0.4213194715,0.5617592953,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.0187585266,0.01637107776,0.02762619372,0.06582537517,kline_close_unadjusted
2026-05-26,VRTX,4,0.4002990185,0.5337320246,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.002959190696,0.02663271626,-0.02486637763,0.02257243135,kline_close_unadjusted
2026-05-26,ASML,5,0.3974498269,0.5299331025,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.02093098779,-0.01180738099,0.04493789943,0.08929982905,kline_close_unadjusted
2026-05-26,TSLA,6,0.3928806712,0.5238408949,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.01561382873,0.005073917756,-0.02271731359,-0.08512650199,kline_close_unadjusted
2026-05-26,CASY,7,0.3788437942,0.505125059,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.03092375928,-0.05222322432,-0.06819782311,-0.05958661247,kline_close_unadjusted
2026-05-26,AMAT,8,0.3769801297,0.5026401729,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.01459693552,-0.01061795159,0.07729341159,0.09743014795,kline_close_unadjusted
2026-05-26,NKE,9,0.3746621333,0.4995495111,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.02335504155,0.02896923422,-0.01796541657,0.002694812486,kline_close_unadjusted
2026-05-26,PDD,10,0.3735792565,0.4981056754,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.1037872517,-0.1262417219,-0.08754139073,-0.152214404,kline_close_unadjusted
2026-05-26,CRM,11,0.3677558303,0.4903411071,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.008788625168,0.06728616211,0.1218092253,-0.02087998209,kline_close_unadjusted
2026-05-26,KO,12,0.3588148277,0.4784197703,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.01451269861,-0.01814087326,-0.02564744151,0.01100963343,kline_close_unadjusted
2026-05-26,AVGO,13,0.3561757983,0.4749010643,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.0003559901272,0.05876210366,0.1413518132,-0.07084203531,kline_close_unadjusted
2026-05-26,JNJ,14,0.3442113863,0.458948515,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.004822312972,-0.02107046659,-0.03167086628,0.02962898601,kline_close_unadjusted
2026-05-26,AMZN,15,0.3406281531,0.4541708708,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.02472765653,0.02016661012,-0.03305816277,-0.07953560255,kline_close_unadjusted
2026-05-26,GOOGL,16,0.3375293556,0.4500391408,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.0001286471466,-0.02197293264,-0.06954664746,-0.06277980754,kline_close_unadjusted
2026-05-26,APP,17,0.3373642649,0.4498190199,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.1042120411,0.19222542,0.177718575,0.01283447418,kline_close_unadjusted
2026-05-26,CCI,18,0.3344995513,0.4459994017,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.002567609054,0.009600625157,-0.00803773269,0.02154558902,kline_close_unadjusted
2026-05-26,AKAM,19,0.3306427597,0.440857013,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.02550435193,0.008973753458,0.08170838675,-0.07017070373,kline_close_unadjusted
2026-05-26,ABBV,20,0.3234574067,0.4312765422,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.0106981982,0.02158408408,0.0106981982,0.05771396396,kline_close_unadjusted
2026-05-26,MCK,21,0.3189028024,0.4252037366,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.002746888187,-0.01587090953,-0.02229358529,0.04067252316,kline_close_unadjusted
2026-05-26,ADBE,22,0.3164255089,0.4219006786,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.009356147363,0.0778423144,0.08990218044,-0.01085313094,kline_close_unadjusted
2026-05-26,GOOG,23,0.3143117225,0.4190822966,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-2.5999688e-05,-0.02186573761,-0.06876917477,-0.05805730331,kline_close_unadjusted
2026-05-26,MMM,24,0.3106440371,0.4141920494,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.007401155619,-0.005843017594,-0.007336233201,0.01532169058,kline_close_unadjusted
2026-05-26,TXN,25,0.3104196201,0.4138928268,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.02290005848,-0.05912770476,-0.05161747053,-0.1116070054,kline_close_unadjusted
2026-05-26,NUE,26,0.305533444,0.4073779253,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.02577900138,0.04050390022,0.07579360113,0.05852417303,kline_close_unadjusted
2026-05-26,ALL,27,0.3009946158,0.4013261544,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.01874940965,-0.03178426372,-0.006045149712,0.02569188628,kline_close_unadjusted
2026-05-27,GS,1,0.5228697033,0.6971596044,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.01199633053,0.05706825811,0.04944705989,0.009395445427,kline_close_unadjusted
2026-05-27,NKE,2,0.451982852,0.6026438027,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.03050252359,0.007899934167,-0.03862190037,-0.03533026114,kline_close_unadjusted
2026-05-27,MGM,3,0.4375234327,0.5833645769,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.02336114422,0.2083432658,0.1513706794,0.1182359952,kline_close_unadjusted
2026-05-27,APP,4,0.4281901346,0.5709201795,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.05646056038,0.08078121973,0.005283271402,-0.1318176215,kline_close_unadjusted
2026-05-27,WELL,5,0.399469756,0.5326263414,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.0181622934,-0.07853207582,-0.06812027267,-0.01316649547,kline_close_unadjusted
2026-05-27,VRTX,6,0.3964592345,0.5286123127,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.02458716436,0.002698870134,-0.02031014135,-0.0034536389,kline_close_unadjusted
2026-05-27,KDP,7,0.3962266006,0.5283021342,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.002008704386,0.003347840643,0.01506528289,0.05356545028,kline_close_unadjusted
2026-05-27,ASML,8,0.3935685087,0.5247580116,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.004944081809,0.01921301483,0.08041330021,0.08531351111,kline_close_unadjusted
2026-05-27,TSLA,9,0.3868069608,0.5157426145,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.003951312562,-0.05559088019,-0.03783268235,-0.1334589881,kline_close_unadjusted
2026-05-27,GOOGL,10,0.3752544547,0.500339273,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.003345256169,-0.03206299375,-0.07678649546,-0.08293662026,kline_close_unadjusted
2026-05-27,AMAT,11,0.3658024552,0.4877366069,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.003190184049,0.02213050753,0.1171667596,0.1087785834,kline_close_unadjusted
2026-05-27,AVGO,12,0.3594210856,0.4792281141,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.01120581183,0.09047743406,0.1362028442,-0.1181358467,kline_close_unadjusted
2026-05-27,AMZN,13,0.3592697569,0.4790263425,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,0.007908773221,-0.03895530624,-0.08030163693,-0.124517197,kline_close_unadjusted
2026-05-27,KO,14,0.3566057613,0.4754743484,0,FULL_ASOF_PANEL,68,daily_klines_as_of_membership,unavailable_as_of_equals_zero,-0.01492169195,-0.03674929091,-0.03526945369,0.02429399433,kline_close_unadjusted
