symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
INTC,1,2,2026-06-15,1,2026-06-16,1d,completed,2026-06-16:INTC:1d,127.66999816894533,127.66999816894533,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0008616106574164,False,0.8268482490272373,0.0,0.8768482490272373,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,125.1165982055664,132.77679809570313,2.0,0.1,0.125,0.0,119.16699981689452,119.16699981689452,-0.0666013822667938,2026-06-17 02:51:36 CST
INTC,1,2,2026-06-15,3,2026-06-18,3d,completed,2026-06-16:INTC:3d,127.66999816894533,127.66999816894533,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0008616106574164,False,0.8268482490272373,0.0,0.8768482490272373,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,125.1165982055664,132.77679809570313,2.0,0.1,0.125,0.0,133.99000549316406,133.99000549316406,0.0495026820307108,2026-06-21 20:41:42 CST
INTC,1,2,2026-06-15,5,2026-06-22,5d,completed,2026-06-16:INTC:5d,127.66999816894533,127.66999816894533,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0008616106574164,False,0.8268482490272373,0.0,0.8768482490272373,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,125.1165982055664,132.77679809570313,2.0,0.1,0.125,0.0,140.94,140.94,0.10393986074547065,2026-06-24 03:27:29 CST
INTC,1,2,2026-06-15,10,2026-06-29,10d,pending,2026-06-16:INTC:10d,127.66999816894533,127.66999816894533,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0008616106574164,False,0.8268482490272373,0.0,0.8768482490272373,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,125.1165982055664,132.77679809570313,2.0,0.1,0.125,0.0,,,,
SJM,2,1,2026-06-15,1,2026-06-16,1d,completed,2026-06-16:SJM:1d,115.6999969482422,115.6999969482422,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8396887159533073,0.0,0.8396887159533073,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,113.38599700927736,120.32799682617188,2.0,0.1,0.125,0.0,116.1449966430664,116.1449966430664,0.0038461513099544,2026-06-17 02:51:36 CST
SJM,2,1,2026-06-15,3,2026-06-18,3d,completed,2026-06-16:SJM:3d,115.6999969482422,115.6999969482422,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8396887159533073,0.0,0.8396887159533073,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,113.38599700927736,120.32799682617188,2.0,0.1,0.125,0.0,110.86000061035156,110.86000061035156,-0.0418322944300144,2026-06-21 20:41:42 CST
SJM,2,1,2026-06-15,5,2026-06-22,5d,completed,2026-06-16:SJM:5d,115.6999969482422,115.6999969482422,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8396887159533073,0.0,0.8396887159533073,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,113.38599700927736,120.32799682617188,2.0,0.1,0.125,0.0,107.19,107.19,-0.07355226596980038,2026-06-24 03:27:29 CST
SJM,2,1,2026-06-15,10,2026-06-29,10d,pending,2026-06-16:SJM:10d,115.6999969482422,115.6999969482422,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8396887159533073,0.0,0.8396887159533073,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,113.38599700927736,120.32799682617188,2.0,0.1,0.125,0.0,,,,
HOOD,3,5,2026-06-15,1,2026-06-16,1d,completed,2026-06-16:HOOD:1d,98.75,98.75,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0002025316455696,False,0.7844357976653696,0.0,0.8344357976653697,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,96.775,102.70000000000002,2.0,0.1,0.125,0.0,96.1999969482422,96.1999969482422,-0.0258228157140031,2026-06-17 02:51:36 CST
HOOD,3,5,2026-06-15,3,2026-06-18,3d,completed,2026-06-16:HOOD:3d,98.75,98.75,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0002025316455696,False,0.7844357976653696,0.0,0.8344357976653697,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,96.775,102.70000000000002,2.0,0.1,0.125,0.0,108.1500015258789,108.1500015258789,0.0951898888696598,2026-06-21 20:41:42 CST
HOOD,3,5,2026-06-15,5,2026-06-22,5d,completed,2026-06-16:HOOD:5d,98.75,98.75,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0002025316455696,False,0.7844357976653696,0.0,0.8344357976653697,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,96.775,102.70000000000002,2.0,0.1,0.125,0.0,105.71,105.71,0.07048101265822779,2026-06-24 03:27:29 CST
HOOD,3,5,2026-06-15,10,2026-06-29,10d,pending,2026-06-16:HOOD:10d,98.75,98.75,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0002025316455696,False,0.7844357976653696,0.0,0.8344357976653697,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,96.775,102.70000000000002,2.0,0.1,0.125,0.0,,,,
CAH,4,3,2026-06-15,1,2026-06-16,1d,completed,2026-06-16:CAH:1d,225.8000030517578,225.8000030517578,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,221.28400299072263,234.83200317382813,2.0,0.1,0.125,0.0,227.44009399414065,227.44009399414065,0.0072634673171677,2026-06-17 02:51:37 CST
CAH,4,3,2026-06-15,3,2026-06-18,3d,completed,2026-06-16:CAH:3d,225.8000030517578,225.8000030517578,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,221.28400299072263,234.83200317382813,2.0,0.1,0.125,0.0,221.7700042724609,221.7700042724609,-0.0178476471427377,2026-06-21 20:41:42 CST
CAH,4,3,2026-06-15,5,2026-06-22,5d,completed,2026-06-16:CAH:5d,225.8000030517578,225.8000030517578,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,221.28400299072263,234.83200317382813,2.0,0.1,0.125,0.0,222.74,222.74,-0.013551829098321094,2026-06-24 03:27:30 CST
CAH,4,3,2026-06-15,10,2026-06-29,10d,pending,2026-06-16:CAH:10d,225.8000030517578,225.8000030517578,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,221.28400299072263,234.83200317382813,2.0,0.1,0.125,0.0,,,,
SW,5,4,2026-06-15,1,2026-06-16,1d,completed,2026-06-16:SW:1d,45.1150016784668,45.1150016784668,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7859922178988328,0.0,0.7859922178988328,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.21270164489746,46.91960174560548,2.0,0.1,0.125,0.0,43.91999816894531,43.91999816894531,-0.0264879411517755,2026-06-17 02:51:37 CST
SW,5,4,2026-06-15,3,2026-06-18,3d,completed,2026-06-16:SW:3d,45.1150016784668,45.1150016784668,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7859922178988328,0.0,0.7859922178988328,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.21270164489746,46.91960174560548,2.0,0.1,0.125,0.0,44.20000076293945,44.20000076293945,-0.0202815223647452,2026-06-21 20:41:43 CST
SW,5,4,2026-06-15,5,2026-06-22,5d,completed,2026-06-16:SW:5d,45.1150016784668,45.1150016784668,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7859922178988328,0.0,0.7859922178988328,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.21270164489746,46.91960174560548,2.0,0.1,0.125,0.0,45.39,45.39,0.006095496205300138,2026-06-24 03:27:30 CST
SW,5,4,2026-06-15,10,2026-06-29,10d,pending,2026-06-16:SW:10d,45.1150016784668,45.1150016784668,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7859922178988328,0.0,0.7859922178988328,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.21270164489746,46.91960174560548,2.0,0.1,0.125,0.0,,,,
