symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
INTC,1,2,2026-06-15,1,2026-06-16,1d,completed,2026-06-16-feedback:INTC:1d,128.53500366210938,128.53500366210938,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0040845189804444,False,0.8284046692607003,0.0,0.8484046692607004,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,117.75618679000854,150.09263740631104,2.0,0.1,0.0,0.4,119.1449966430664,119.1449966430664,-0.0730540845023606,2026-06-17 02:51:34 CST
INTC,1,2,2026-06-15,3,2026-06-18,3d,completed,2026-06-16-feedback:INTC:3d,128.53500366210938,128.53500366210938,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0040845189804444,False,0.8284046692607003,0.0,0.8484046692607004,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,117.75618679000854,150.09263740631104,2.0,0.1,0.0,0.4,133.99000549316406,133.99000549316406,0.0424398154248682,2026-06-21 20:41:41 CST
INTC,1,2,2026-06-15,5,2026-06-22,5d,completed,2026-06-16-feedback:INTC:5d,128.53500366210938,128.53500366210938,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0040845189804444,False,0.8284046692607003,0.0,0.8484046692607004,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,117.75618679000854,150.09263740631104,2.0,0.1,0.0,0.4,140.94,140.94,0.09651064678459624,2026-06-24 03:27:27 CST
INTC,1,2,2026-06-15,10,2026-06-29,10d,pending,2026-06-16-feedback:INTC:10d,128.53500366210938,128.53500366210938,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0040845189804444,False,0.8284046692607003,0.0,0.8484046692607004,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,117.75618679000854,150.09263740631104,2.0,0.1,0.0,0.4,,,,
SJM,2,1,2026-06-15,1,2026-06-16,1d,completed,2026-06-16-feedback:SJM:1d,115.7699966430664,115.7699966430664,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8404669260700388,0.0,0.8404669260700388,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,106.0616404945755,135.18670894004822,2.0,0.1,0.0,0.4,116.1449966430664,116.1449966430664,0.0032391812289342,2026-06-17 02:51:35 CST
SJM,2,1,2026-06-15,3,2026-06-18,3d,completed,2026-06-16-feedback:SJM:3d,115.7699966430664,115.7699966430664,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8404669260700388,0.0,0.8404669260700388,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,106.0616404945755,135.18670894004822,2.0,0.1,0.0,0.4,110.86000061035156,110.86000061035156,-0.0424116452888306,2026-06-21 20:41:41 CST
SJM,2,1,2026-06-15,5,2026-06-22,5d,completed,2026-06-16-feedback:SJM:5d,115.7699966430664,115.7699966430664,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8404669260700388,0.0,0.8404669260700388,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,106.0616404945755,135.18670894004822,2.0,0.1,0.0,0.4,107.19,107.19,-0.07411243752143853,2026-06-24 03:27:28 CST
SJM,2,1,2026-06-15,10,2026-06-29,10d,pending,2026-06-16-feedback:SJM:10d,115.7699966430664,115.7699966430664,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.8404669260700388,0.0,0.8404669260700388,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,106.0616404945755,135.18670894004822,2.0,0.1,0.0,0.4,,,,
CAH,3,3,2026-06-15,1,2026-06-16,1d,completed,2026-06-16-feedback:CAH:1d,226.2749938964844,226.2749938964844,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,207.2997991833191,264.22538332281493,2.0,0.1,0.0,0.4,227.44009399414065,227.44009399414065,0.0051490448749685,2026-06-17 02:51:35 CST
CAH,3,3,2026-06-15,3,2026-06-18,3d,completed,2026-06-16-feedback:CAH:3d,226.2749938964844,226.2749938964844,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,207.2997991833191,264.22538332281493,2.0,0.1,0.0,0.4,221.7700042724609,221.7700042724609,-0.0199093569574214,2026-06-21 20:41:41 CST
CAH,3,3,2026-06-15,5,2026-06-22,5d,completed,2026-06-16-feedback:CAH:5d,226.2749938964844,226.2749938964844,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,207.2997991833191,264.22538332281493,2.0,0.1,0.0,0.4,222.74,222.74,-0.015622556587501545,2026-06-24 03:27:28 CST
CAH,3,3,2026-06-15,10,2026-06-29,10d,pending,2026-06-16-feedback:CAH:10d,226.2749938964844,226.2749938964844,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,,False,0.7992217898832684,0.0,0.7992217898832684,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,207.2997991833191,264.22538332281493,2.0,0.1,0.0,0.4,,,,
