symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,market_score,ticket_score,classification,due_close,due_adj_close,forward_return,completed_at
AMD,1,4,2026-06-10,1,2026-06-11,1d,pending,2026-06-10-open:AMD:1d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
AMD,1,4,2026-06-10,3,2026-06-15,3d,pending,2026-06-10-open:AMD:3d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
AMD,1,4,2026-06-10,5,2026-06-17,5d,pending,2026-06-10-open:AMD:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
AMD,1,4,2026-06-10,10,2026-06-24,10d,pending,2026-06-10-open:AMD:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ADBE,2,3,2026-06-10,1,2026-06-11,1d,pending,2026-06-10-open:ADBE:1d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ADBE,2,3,2026-06-10,3,2026-06-15,3d,pending,2026-06-10-open:ADBE:3d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ADBE,2,3,2026-06-10,5,2026-06-17,5d,pending,2026-06-10-open:ADBE:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ADBE,2,3,2026-06-10,10,2026-06-24,10d,pending,2026-06-10-open:ADBE:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ABNB,3,5,2026-06-10,1,2026-06-11,1d,pending,2026-06-10-open:ABNB:1d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ABNB,3,5,2026-06-10,3,2026-06-15,3d,pending,2026-06-10-open:ABNB:3d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ABNB,3,5,2026-06-10,5,2026-06-17,5d,pending,2026-06-10-open:ABNB:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ABNB,3,5,2026-06-10,10,2026-06-24,10d,pending,2026-06-10-open:ABNB:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
KLAC,4,1,2026-06-10,1,2026-06-11,1d,pending,2026-06-10-open:KLAC:1d,2135.639892578125,2135.639892578125,0.82,0.82,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
KLAC,4,1,2026-06-10,3,2026-06-15,3d,pending,2026-06-10-open:KLAC:3d,2135.639892578125,2135.639892578125,0.82,0.82,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
KLAC,4,1,2026-06-10,5,2026-06-17,5d,completed,2026-06-10-open:KLAC:5d,2135.639892578125,2135.639892578125,0.82,0.82,MARKET_WATCHLIST_NEEDS_EVIDENCE,240.9499969482422,240.9499969482422,-0.8871766734712145,2026-06-17 02:51:19 CST
KLAC,4,1,2026-06-10,10,2026-06-24,10d,completed,2026-06-10-open:KLAC:10d,2135.639892578125,2135.639892578125,0.82,0.82,MARKET_WATCHLIST_NEEDS_EVIDENCE,240.48,240.48,-0.8873967465977165,2026-06-25 10:01:28 CST
HUBB,5,2,2026-06-10,1,2026-06-11,1d,pending,2026-06-10-open:HUBB:1d,467.5899963378906,467.5899963378906,0.6,0.6,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
HUBB,5,2,2026-06-10,3,2026-06-15,3d,pending,2026-06-10-open:HUBB:3d,467.5899963378906,467.5899963378906,0.6,0.6,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
HUBB,5,2,2026-06-10,5,2026-06-17,5d,completed,2026-06-10-open:HUBB:5d,467.5899963378906,467.5899963378906,0.6,0.6,MARKET_WATCHLIST_NEEDS_EVIDENCE,509.0650024414063,509.0650024414063,0.088699515448027,2026-06-17 02:51:19 CST
HUBB,5,2,2026-06-10,10,2026-06-24,10d,completed,2026-06-10-open:HUBB:10d,467.5899963378906,467.5899963378906,0.6,0.6,MARKET_WATCHLIST_NEEDS_EVIDENCE,518.18,518.18,0.1081930838091581,2026-06-25 10:01:29 CST
