symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,closing_strength_5d,volume_weighted_momentum,risk_penalty,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
IP,IP,symbol,ip,1,7,2026-06-17,36.810001373291016,36.810001373291016,3513373.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7993190661478599,0.7993190661478599,,0.0,0.525,1.3243190661478599,True,False,False,True,0.15573001357660932,0.2715834496977796,-0.11585343612117027,0.22644383807801485,0.3231096921533243,192331632.02400208,0.5412321420689203,0.3188570868549075,0.0,True,0.95,found_relevant,1,0,10,3 Mid-Cap Stocks We’re Skeptical Of,0.0,0.95,matched company term 'IP' with narrative context 'stock',found_relevant,1,0,10,International Paper Expands Corrugated Reach With Delmarva Deal And New Build,0.0,0.95,matched company term 'IP' with business context 'customer',IP ip stock catalyst earnings news,0,IP ip orders demand backlog guidance revenue customer contract,0,3 Mid-Cap Stocks We’re Skeptical Of; International Paper Expands Corrugated Reach With Delmarva Deal And New Build,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_relevant; business=found_relevant; quality=POOR; risk=WATCH; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,35.739051193336486,38.951901733200074,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=3 Mid-Cap Stocks We’re Skeptical Of | matched company term 'IP' with narrative context 'stock'; business=International Paper Expands Corrugated Reach With Delmarva Deal And New Build | matched company term 'IP' with business context 'customer'
GE,GE,symbol,ge,2,9,2026-06-17,362.07000732421875,362.07000732421875,2697851.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7962062256809338,0.7962062256809338,,0.0,0.525,1.3212062256809338,True,False,False,True,0.13604849873447455,0.26917417580448544,-0.13312567707001088,0.2240345641847207,0.010388965259836125,1495598992.2042847,0.7387922559257508,0.25106799363585725,0.0,True,0.95,found_relevant,1,0,10,SpaceX is sucking the oxygen out of the new space trade,0.0,0.95,matched company term 'GE' with narrative context 'stock',found_relevant,1,0,10,Can GE Aerospace Boost Margin Performance Amid Cost Pressures?,0.0,0.95,matched company term 'GE' with business context 'backlog',GE ge stock catalyst earnings news,0,GE ge orders demand backlog guidance revenue customer contract,0,SpaceX is sucking the oxygen out of the new space trade; Can GE Aerospace Boost Margin Performance Amid Cost Pressures?,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_relevant; business=found_relevant; quality=POOR; risk=WATCH; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,351.53594253112794,383.13813691040036,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=SpaceX is sucking the oxygen out of the new space trade | matched company term 'GE' with narrative context 'stock'; business=Can GE Aerospace Boost Margin Performance Amid Cost Pressures? | matched company term 'GE' with business context 'backlog'
TER,泰瑞达,eastmoney_us,泰瑞达,3,4,2026-06-17,425.6099853515625,425.6099853515625,1755157.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,423.79,0.004276181044152727,False,ok,423.79,409.35,0.035275436667888016,21.1,13.43,84.78,0.8042801556420233,0.8042801556420233,,0.0,0.425,1.2792801556420232,True,False,False,True,0.2244598228823278,0.3242434736106774,-0.0997836507283496,0.27910386199091264,0.13766043549617502,1336552673.1323242,0.5968518977409932,0.33427785368995994,0.0,True,0.75,found_relevant,1,0,10,Teradyne (TER) to Showcase Physical AI Robotics at Automate 2026,0.0,0.75,matched ticker boundary 'TER' with narrative context 'stock',found_relevant,1,0,10,Teradyne (TER) Joins The Nasdaq 100 As It Lands A $139.9 Million Air Force Deal,0.0,0.75,matched ticker boundary 'TER' with business context 'contract',TER 泰瑞达 stock catalyst earnings news,0,TER 泰瑞达 orders demand backlog guidance revenue customer contract,0,Teradyne (TER) to Showcase Physical AI Robotics at Automate 2026; Teradyne (TER) Joins The Nasdaq 100 As It Lands A $139.9 Million Air Force Deal,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.004276181044152727; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=WATCH; panel=BULLISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,413.22728843774416,450.3753791791992,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=Teradyne (TER) to Showcase Physical AI Robotics at Automate 2026 | matched ticker boundary 'TER' with narrative context 'stock'; business=Teradyne (TER) Joins The Nasdaq 100 As It Lands A $139.9 Million Air Force Deal | matched ticker boundary 'TER' with business context 'contract'
STX,希捷科技,eastmoney_us,希捷科技,4,1,2026-06-17,1090.72998046875,1090.72998046875,2567013.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,1086.22,0.004134827637919836,False,ok,1086.22,1031.34,0.053212325712180375,222.43,588.79,-91.3,0.8314202334630352,0.8314202334630352,,0.0,0.425,1.2764202334630352,True,False,False,True,0.33669529470019843,0.48732531094348275,-0.15063001624328431,0.442185699323718,0.4253063806949213,2809581727.8063965,0.7186194944008422,0.58293988821656,0.0,True,0.75,found_relevant,1,0,10,Seagate (STX) Stock Rallies As US Iran Ceasefire Lifts Memory Sector Mood,0.0,0.75,matched ticker boundary 'STX' with narrative context 'news',found_relevant,1,0,10,Can Seagate's Mozaic HAMR Platform Strengthen Its Competitive Edge?,0.0,0.75,matched ticker boundary 'STX' with business context 'demand',STX 希捷科技 stock catalyst earnings news,0,STX 希捷科技 orders demand backlog guidance revenue customer contract,0,Seagate (STX) Stock Rallies As US Iran Ceasefire Lifts Memory Sector Mood; Can Seagate's Mozaic HAMR Platform Strengthen Its Competitive Edge?,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.004134827637919836; narrative=found_relevant; business=found_relevant; quality=MODERATE; risk=ELEVATED; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,1058.9962824169922,1154.1973765722655,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=Seagate (STX) Stock Rallies As US Iran Ceasefire Lifts Memory Sector Mood | matched ticker boundary 'STX' with narrative context 'news'; business=Can Seagate's Mozaic HAMR Platform Strengthen Its Competitive Edge? | matched ticker boundary 'STX' with business context 'demand'
WDC,西部数据,eastmoney_us,西部数据,5,2,2026-06-17,739.614990234375,739.614990234375,8911093.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,737.46,0.002913664897046031,False,ok,737.46,681.08,0.08278029012744459,26.26,81.85,-81.82,0.8310311284046692,0.8310311284046692,,0.0,0.425,1.2760311284046693,True,False,False,True,0.5091411695015509,0.6230975033688257,-0.11395633386727488,0.577957891749061,0.7550185873607782,3473481769.5739746,0.7676286749751791,0.8111728929035734,0.0,True,0.75,found_relevant,1,0,10,Western Digital (WDC) is a Great Momentum Stock: Should You Buy?,0.0,0.75,matched ticker boundary 'WDC' with narrative context 'stock',found_relevant,1,0,10,"Western Digital Earnings Nearly Double on AI, Cloud Demand",0.0,0.75,matched ticker boundary 'WDC' with business context 'demand',WDC 西部数据 stock catalyst earnings news,0,WDC 西部数据 orders demand backlog guidance revenue customer contract,0,"Western Digital (WDC) is a Great Momentum Stock: Should You Buy?; Western Digital Earnings Nearly Double on AI, Cloud Demand",Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.002913664897046031; narrative=found_relevant; business=found_relevant; quality=MODERATE; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,718.0966317084961,782.6517072861327,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,"narrative=Western Digital (WDC) is a Great Momentum Stock: Should You Buy? | matched ticker boundary 'WDC' with narrative context 'stock'; business=Western Digital Earnings Nearly Double on AI, Cloud Demand | matched ticker boundary 'WDC' with business context 'demand'"
AMAT,应用材料,eastmoney_us,应用材料,6,10,2026-06-17,610.7650146484375,610.7650146484375,6708973.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,607.505,0.005337592314965889,False,ok,607.505,568.23,0.06911813878183115,20.17,21.8,-78.46,0.8386186770428017,0.7886186770428016,momentum_exhaustion_guard,-0.05,0.425,1.2336186770428017,True,False,False,True,0.22887869992086474,0.5028489746094336,-0.2739702746885688,0.4577093629896688,0.33043547237028403,4293479433.5648193,0.5339849268079466,0.5817113519903785,0.0,True,0.75,found_relevant,1,0,10,Applied Materials shares jump on launch of integrated AR smart glasses system,0.0,0.75,matched ticker boundary 'AMAT' with narrative context 'shares',found_relevant,1,0,10,Applied Materials (AMAT) Climbed Amid Broad-Based Growth Drivers,0.0,0.75,matched ticker boundary 'AMAT' with business context 'quarter',AMAT 应用材料 stock catalyst earnings news,0,AMAT 应用材料 orders demand backlog guidance revenue customer contract,0,Applied Materials shares jump on launch of integrated AR smart glasses system; Applied Materials (AMAT) Climbed Amid Broad-Based Growth Drivers,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.005337592314965889; narrative=found_relevant; business=found_relevant; quality=MODERATE; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,592.9954173122559,646.3042093208007,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=Applied Materials shares jump on launch of integrated AR smart glasses system | matched ticker boundary 'AMAT' with narrative context 'shares'; business=Applied Materials (AMAT) Climbed Amid Broad-Based Growth Drivers | matched ticker boundary 'AMAT' with business context 'quarter'
UAL,联合航空,eastmoney_us,联合航空,7,3,2026-06-17,117.37000274658203,117.37000274658203,2779618.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,117.24,0.001107631792961028,False,ok,117.24,118.51,-0.010716395240908061,2.4,4.49,63.93,0.811284046692607,0.811284046692607,,0.0,0.1875,1.048784046692607,True,False,False,True,0.14195372777357962,0.31698832057187576,-0.17503459279829614,0.271848708952111,0.06634940537008838,636218017.3519135,0.4845040078335196,0.31626774633887983,0.0,True,0.75,found_relevant,1,0,10,United Airlines (UAL) CEO Says Asset Purchases Remain Possible as Fuel Costs Pressure Weaker Rivals,0.0,0.75,matched ticker boundary 'UAL' with narrative context 'stock',found_unrelated,1,0,10,United (UAL) Faces A Cheaper Fuel Outlook After Strait Of Hormuz Reopens,0.0,0.0,matched ticker boundary 'UAL' but no business context term,UAL 联合航空 stock catalyst earnings news,0,UAL 联合航空 orders demand backlog guidance revenue customer contract,0,United Airlines (UAL) CEO Says Asset Purchases Remain Possible as Fuel Costs Pressure Weaker Rivals,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.001107631792961028; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,113.95523988667298,124.19952846640012,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=United Airlines (UAL) CEO Says Asset Purchases Remain Possible as Fuel Costs Pressure Weaker Rivals | matched ticker boundary 'UAL' with narrative context 'stock'; business=UNRELATED: United (UAL) Faces A Cheaper Fuel Outlook After Strait Of Hormuz Reopens | matched ticker boundary 'UAL' but no business context term
RL,RL,symbol,rl,8,5,2026-06-17,412.2650146484375,412.2650146484375,316931.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.8034046692607004,0.8034046692607004,,0.0,0.2375,1.0409046692607005,True,False,False,True,0.09519704239805593,0.28555618045424747,-0.19035913805619153,0.24041656883448273,0.017574829425903715,265149040.06652832,0.5040502800274815,0.23146745687083467,0.0,True,0.95,found_relevant,1,2,2,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.95,matched company term 'RL' with narrative context 'news',found_unrelated,1,0,10,RL's Retail Comp Acceleration: What's Driving Its Q4 Performance?,0.0,0.0,matched company term 'RL' but no business context term,RL rl stock catalyst earnings news,0,RL rl orders demand backlog guidance revenue customer contract,0,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_relevant; business=found_unrelated; quality=POOR; risk=ELEVATED; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,400.27057631225586,436.2538913208008,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | matched company term 'RL' with narrative context 'news'; business=UNRELATED: RL's Retail Comp Acceleration: What's Driving Its Q4 Performance? | matched company term 'RL' but no business context term
LUV,LUV,symbol,luv,9,6,2026-06-17,47.67499923706055,47.67499923706055,3633223.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7999999999999999,0.7999999999999999,,0.0,0.2375,1.0374999999999999,True,False,False,True,0.1565986857155972,0.28201310395395884,-0.12541441823836164,0.2368734923341941,0.15026025976745294,279190114.024353,0.5638601886713137,0.30322066001048176,0.0,True,0.95,found_unrelated,1,0,10,SOUTHWEST AIRLINES PARTNERS WITH AMAZON WEB SERVICES (AWS) TO ACCELERATE AI CAPABILITIES AND TECHNOLOGY MODERNIZATION,0.0,0.0,matched company term 'LUV' but no narrative context term,found_relevant,1,0,10,SOUTHWEST AIRLINES PARTNERS WITH AMAZON WEB SERVICES (AWS) TO ACCELERATE AI CAPABILITIES AND TECHNOLOGY MODERNIZATION,0.0,0.95,matched company term 'LUV' with business context 'customer',LUV luv stock catalyst earnings news,0,LUV luv orders demand backlog guidance revenue customer contract,0,SOUTHWEST AIRLINES PARTNERS WITH AMAZON WEB SERVICES (AWS) TO ACCELERATE AI CAPABILITIES AND TECHNOLOGY MODERNIZATION,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=found_relevant; quality=POOR; risk=WATCH; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,46.28794280925751,50.449112092666624,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=UNRELATED: SOUTHWEST AIRLINES PARTNERS WITH AMAZON WEB SERVICES (AWS) TO ACCELERATE AI CAPABILITIES AND TECHNOLOGY MODERNIZATION | matched company term 'LUV' but no narrative context term; business=SOUTHWEST AIRLINES PARTNERS WITH AMAZON WEB SERVICES (AWS) TO ACCELERATE AI CAPABILITIES AND TECHNOLOGY MODERNIZATION | matched company term 'LUV' with business context 'customer'
CCL,CCL,symbol,ccl,10,8,2026-06-17,30.844999313354492,30.844999313354492,15754724.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7977626459143968,0.7977626459143968,,0.0,0.2375,1.0352626459143968,True,False,False,True,0.18680260042293373,0.29112599838406283,-0.1043233979611291,0.2459863867642981,0.24703934388407855,655968240.248394,0.6498412587077494,0.3099382502423874,0.0,True,0.95,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'quarter' but no company/product match,found_relevant,1,0,10,Countdown to Carnival (CCL) Q2 Earnings: A Look at Estimates Beyond Revenue and EPS,0.0,0.95,matched company term 'CCL' with business context 'revenue',CCL ccl stock catalyst earnings news,0,CCL ccl orders demand backlog guidance revenue customer contract,0,Countdown to Carnival (CCL) Q2 Earnings: A Look at Estimates Beyond Revenue and EPS,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=found_relevant; quality=POOR; risk=WATCH; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,29.94759490333176,32.63980813339996,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'quarter' but no company/product match; business=Countdown to Carnival (CCL) Q2 Earnings: A Look at Estimates Beyond Revenue and EPS | matched company term 'CCL' with business context 'revenue'
