symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,closing_strength_5d,volume_weighted_momentum,risk_penalty,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
WDC,西部数据,eastmoney_us,西部数据,1,1,2026-06-17,723.6699829101562,723.6699829101562,8294695.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,726.0,0.0032197232783841567,False,ok,726.0,681.08,0.06595407294297284,25.85,81.85,73.33,0.8307392996108949,0.8307392996108949,,0.0,0.0,0.8807392996108949,True,False,False,True,0.47660631377430684,0.588105917312767,-0.11149960353846011,0.5459024077051403,0.721153076481774,3473481769.5739746,0.7327053048459432,0.7587990360147213,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,WDC 西部数据 stock catalyst earnings news,0,WDC 西部数据 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0032197232783841567; narrative=missing; business=missing; quality=STRONG; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,702.6155284273682,765.7788918757324,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
STX,希捷科技,eastmoney_us,希捷科技,2,2,2026-06-17,1071.2750244140625,1071.2750244140625,2342865.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,1071.785,0.00047604543587342896,False,ok,1071.785,1031.34,0.03921597145461253,219.48,588.79,50.56,0.8297665369649807,0.8297665369649807,,0.0,0.0,0.8797665369649807,True,False,False,True,0.3128531443214917,0.46079642746033644,-0.14794328313884475,0.41859291785270974,0.4223139759049117,2774705005.1727295,0.6530704324499331,0.546879203917142,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,STX 希捷科技 stock catalyst earnings news,0,STX 希捷科技 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.00047604543587342896; narrative=missing; business=missing; quality=STRONG; risk=ELEVATED; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,1040.1073488537597,1133.610375534668,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
UAL,联合航空,eastmoney_us,联合航空,3,3,2026-06-17,117.13999938964844,117.13999938964844,2486172.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,117.17,0.00025610901918970974,False,ok,117.17,118.51,-0.011307062695131265,2.4,4.49,56.16,0.8167315175097276,0.8167315175097276,,0.0,0.0,0.8667315175097277,True,False,False,True,0.13971590563244995,0.31440749303770676,-0.1746915874052568,0.27220398343008007,0.05534261688659892,636218017.3519135,0.475116118637206,0.31130661198787657,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,UAL 联合航空 stock catalyst earnings news,0,UAL 联合航空 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.00025610901918970974; narrative=missing; business=missing; quality=STRONG; risk=ELEVATED; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,113.73192824740602,123.95614167413328,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
TER,泰瑞达,eastmoney_us,泰瑞达,4,7,2026-06-17,415.2099914550781,415.2099914550781,1561067.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,415.91,0.0016859144994771924,False,ok,415.91,409.35,0.01602540613167225,20.71,13.43,31.03,0.7959143968871595,0.7959143968871595,,0.0,0.0,0.8459143968871595,True,False,False,True,0.1945395317172891,0.29188491879050726,-0.09734538707321816,0.24968140918288056,0.12286988794562559,1336552673.1323242,0.5309246197728225,0.2985858068498643,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,TER 泰瑞达 stock catalyst earnings news,0,TER 泰瑞达 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0016859144994771924; narrative=missing; business=missing; quality=STRONG; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,403.1298719636841,439.3702304378662,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
AMAT,应用材料,eastmoney_us,应用材料,5,8,2026-06-17,600.5150146484375,600.5150146484375,6265162.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,602.005,0.0024811791798990956,False,ok,602.005,568.23,0.05943895957622791,19.99,21.8,-77.78,0.838910505836576,0.788910505836576,momentum_exhaustion_guard,-0.05,0.0,0.838910505836576,True,False,False,True,0.2082553728276466,0.4776278148830313,-0.2693724420553847,0.4354243052754046,0.35441248853733187,4167962830.821228,0.4709564161800297,0.549022512891254,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,AMAT 应用材料 stock catalyst earnings news,0,AMAT 应用材料 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0024811791798990956; narrative=missing; business=missing; quality=STRONG; risk=ELEVATED; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,583.0436308122559,635.4577823208008,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
LUV,LUV,symbol,luv,6,4,2026-06-17,47.59000015258789,47.59000015258789,3194024.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.8005836575875486,0.8005836575875486,,0.0,0.0,0.8005836575875486,True,False,False,True,0.15453660221352372,0.2797274208525038,-0.12519081863898007,0.2375239112448771,0.13506609633525413,279190114.024353,0.551760697206174,0.2979715122277017,0.0,True,0.0,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'quarter' but no company/product match,missing,0,0,0,,,0.0,no ranked candidates returned,LUV luv stock catalyst earnings news,0,LUV luv orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=found_unrelated; business=missing; quality=POOR; risk=WATCH; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,46.2054166881485,50.359167081466666,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'quarter' but no company/product match; business=MISSING: no ranked candidates returned
IP,IP,symbol,ip,7,5,2026-06-17,36.56999969482422,36.56999969482422,3069237.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.8003891050583657,0.8003891050583657,,0.0,0.0,0.8003891050583657,True,False,False,True,0.14819463914671038,0.26329270938665594,-0.11509807023994556,0.22108919977902924,0.30534322428556515,192331632.02400208,0.5018875209598417,0.30637366384664894,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,IP ip stock catalyst earnings news,0,IP ip orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=missing; business=missing; quality=POOR; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,35.50603212370301,38.69793483706664,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
CCL,CCL,symbol,ccl,8,6,2026-06-17,30.739999771118164,30.739999771118164,14026836.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7983463035019455,0.7983463035019455,,0.0,0.0,0.7983463035019455,True,False,False,True,0.18276260260988986,0.2867308730211957,-0.10396827041130585,0.244527363413569,0.2303405123943596,655968240.248394,0.6317378869753176,0.30243864231740647,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,CCL ccl stock catalyst earnings news,0,CCL ccl orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=missing; business=missing; quality=POOR; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,29.845650217777255,32.52869887779998,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
DAL,DAL,symbol,dal,9,9,2026-06-17,82.55000305175781,82.55000305175781,4401939.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7885214007782101,0.7885214007782101,,0.0,0.0,0.7885214007782101,True,False,False,True,0.07950832658557117,0.2182703726276789,-0.13876204604210773,0.1760668630200522,0.06816268397331227,611186442.9328918,0.44724941440134136,0.22861647779741906,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,DAL dal stock catalyst earnings news,0,DAL dal orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=missing; business=missing; quality=POOR; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,80.14829326296997,87.3534226293335,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
SW,SW,symbol,sw,10,10,2026-06-17,44.20000076293945,44.20000076293945,2121479.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,unavailable,unavailable,,,False,cross_check_unavailable,,,,,,,0.7869649805447471,0.7869649805447471,,0.0,0.0,0.7869649805447471,True,False,False,True,0.13478818734697762,0.2408759710370012,-0.10608778369002358,0.1986724614293745,0.24348909706417832,199462936.09313965,0.4650031204602956,0.2614427767844088,0.0,True,0.0,missing,0,0,0,,,0.0,no ranked candidates returned,missing,0,0,0,,,0.0,no ranked candidates returned,SW sw stock catalyst earnings news,0,SW sw orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,last30days_returned_zero_ranked_candidates,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=None; narrative=missing; business=missing; quality=POOR; risk=WATCH; panel=MIXED,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,42.9140459407425,46.771910407333365,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-18,2026-06-22,2026-06-24,2026-07-01,narrative=MISSING: no ranked candidates returned; business=MISSING: no ranked candidates returned
