symbol,company_name,company_name_source,company_query_name,ticket_rank,market_rank,as_of_date,close,adj_close,volume,market_data_source,kline_source,quote_source,quote_source_status,quote_cross_check_basis,quote_cross_check_price,quote_cross_check_gap_pct,data_source_mismatch,data_source_mismatch_reason,latest_price,prev_close,intraday_pct_chg,pe_ttm,roe,dividend_yield,raw_market_score,market_score,market_rule_flags,market_rule_adjustment,catalyst_score,ticket_score,lifecycle_stage,research_only,allow_trade,auto_order,no_broker_api,prior_5d_momentum,prior_20d_momentum,five_day_acceleration,relative_strength_vs_equal_weight,volume_confirmation_ratio,median_dollar_volume_20d,closing_strength_5d,volume_weighted_momentum,risk_penalty,market_evidence_pass,strongest_relevance,narrative_status,narrative_source_diversity,narrative_cluster_count,narrative_ranked_candidate_count,narrative_top_title,narrative_top_score,narrative_relevance_score,narrative_relevance_reason,business_status,business_source_diversity,business_cluster_count,business_ranked_candidate_count,business_top_title,business_top_score,business_relevance_score,business_relevance_reason,narrative_topic,narrative_returncode,business_topic,business_returncode,catalyst_summary,risk_summary,watchlist_pass,evidence_gate_status,evidence_gate_pass,evidence_gap_reason,evidence_gate_reason,classification,risk_allowed,risk_block_reason,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,risk_confidence,forward_1d,forward_3d,forward_5d,forward_10d,evidence_note
SW,Smurfit WestRock plc,eastmoney_us,smurfit westrock,1,6,2026-06-18,44.20000076293945,44.20000076293945,9449100.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,44.2,1.7261073237406777e-08,False,ok,44.2,43.42,0.017964071856287456,1.28,0.36,0.0,0.7890838206627682,0.7890838206627682,,0.0,0.525,1.3640838206627681,paper_review_candidate,True,False,False,True,0.035371332508915554,0.1904120520183734,-0.15504071950945786,0.16687234696870426,0.3237297345818575,214927892.03777313,0.3086006213068684,0.2194903442984176,0.0,True,0.95,found_relevant,1,0,10,Assessing Smurfit Westrock (SW) Valuation After Recent Mixed Share Performance,0.0,0.95,matched company term 'smurfit westrock' with narrative context 'stock',found_relevant,1,0,10,Smurfit WestRock PLC (SW): Best Stock to Buy According to George Soros,0.0,0.95,matched company term 'Smurfit WestRock plc' with business context 'results',SW smurfit westrock stock catalyst earnings news,0,SW smurfit westrock orders demand backlog guidance revenue customer contract,0,Assessing Smurfit Westrock (SW) Valuation After Recent Mixed Share Performance; Smurfit WestRock PLC (SW): Best Stock to Buy According to George Soros,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=1.7261073237406777e-08; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,42.9140459407425,46.771910407333365,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=Assessing Smurfit Westrock (SW) Valuation After Recent Mixed Share Performance | matched company term 'smurfit westrock' with narrative context 'stock'; business=Smurfit WestRock PLC (SW): Best Stock to Buy According to George Soros | matched company term 'Smurfit WestRock plc' with business context 'results'
GE,GE航空航天,eastmoney_us,ge,2,7,2026-06-18,357.6400146484375,357.6400146484375,7763400.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,357.64,4.095860894892667e-08,False,ok,357.64,357.03,0.0017085398986080857,20.66,10.37,20.0,0.784307992202729,0.784307992202729,,0.0,0.525,1.359307992202729,paper_review_candidate,True,False,False,True,0.0747686144748474,0.19145816920363012,-0.11668955472878273,0.16791846415396097,0.279623876165465,1511433644.1833496,0.473682609164396,0.21529913613954435,0.0,True,0.95,found_relevant,1,0,10,I'm Calling It: GE Vernova (GEV) Is a Buy Before This Catalyst Drops,0.0,0.95,matched company term 'GE航空航天' with narrative context 'catalyst',found_relevant,1,0,10,Is GE Stock's Large Backlog Enough To Out-Fly a Slowdown?,0.0,0.95,matched company term 'GE航空航天' with business context 'backlog',GE ge stock catalyst earnings news,0,GE ge orders demand backlog guidance revenue customer contract,0,I'm Calling It: GE Vernova (GEV) Is a Buy Before This Catalyst Drops; Is GE Stock's Large Backlog Enough To Out-Fly a Slowdown?,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=4.095860894892667e-08; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=WATCH; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,347.23483606225585,378.4503718208008,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=I'm Calling It: GE Vernova (GEV) Is a Buy Before This Catalyst Drops | matched company term 'GE航空航天' with narrative context 'catalyst'; business=Is GE Stock's Large Backlog Enough To Out-Fly a Slowdown? | matched company term 'GE航空航天' with business context 'backlog'
MRNA,Moderna Inc,eastmoney_us,moderna,3,10,2026-06-18,63.959999084472656,63.959999084472656,24078800.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,63.96,1.4314061269615763e-08,False,ok,63.96,61.8,0.03495145631067964,3.43,-16.73,5.88,0.7730019493177388,0.7730019493177388,,0.0,0.525,1.3480019493177389,paper_review_candidate,True,False,False,True,0.28847703204868314,0.32917706783430867,-0.04070003578562553,0.30563736278463954,1.6580098105942134,272122818.5054779,0.6202020216322905,0.5748540200603898,0.0,True,0.95,found_relevant,1,0,10,Moderna Has Some Key Approvals Ahead. Is the Stock a Buy?,0.0,0.95,matched company term 'moderna' with narrative context 'stock',found_relevant,1,0,10,Moderna just got a signal investors can’t ignore,0.0,0.95,matched company term 'moderna' with business context 'demand',MRNA moderna stock catalyst earnings news,0,MRNA moderna orders demand backlog guidance revenue customer contract,0,Moderna Has Some Key Approvals Ahead. Is the Stock a Buy?; Moderna just got a signal investors can’t ignore,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=1.4314061269615763e-08; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=WATCH; panel=BULLISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,62.09914687110901,67.68170351119994,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=Moderna Has Some Key Approvals Ahead. Is the Stock a Buy? | matched company term 'moderna' with narrative context 'stock'; business=Moderna just got a signal investors can’t ignore | matched company term 'moderna' with business context 'demand'
TECH,Bio-Techne Corp,eastmoney_us,bio techne,4,2,2026-06-18,57.939998626708984,57.939998626708984,3773100.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,57.94,2.3701951068488825e-08,False,ok,57.94,55.0,0.05345454545454542,4.35,6.36,-60.0,0.8030214424951266,0.8030214424951266,,0.0,0.475,1.3280214424951267,paper_review_candidate,True,False,False,True,0.07256568189054757,0.24068517516362564,-0.16811949327307807,0.2171454701139565,0.09210759396828339,138602400.0,0.566203704831384,0.23197751672637393,0.0,True,0.95,found_relevant,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.75,matched ticker boundary 'TECH' with narrative context 'shares',found_relevant,1,0,10,3 Reasons TECH is Risky and 1 Stock to Buy Instead,0.0,0.95,matched company term 'bio techne' with business context 'results',TECH bio techne stock catalyst earnings news,0,TECH bio techne orders demand backlog guidance revenue customer contract,0,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?; 3 Reasons TECH is Risky and 1 Stock to Buy Instead,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.95; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=2.3701951068488825e-08; narrative=found_relevant; business=found_relevant; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,56.254292306663515,61.31141126679992,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | matched ticker boundary 'TECH' with narrative context 'shares'; business=3 Reasons TECH is Risky and 1 Stock to Buy Instead | matched company term 'bio techne' with business context 'results'
TER,泰瑞达,eastmoney_us,泰瑞达,5,1,2026-06-18,437.9200134277344,437.9200134277344,17958200.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,437.92,3.0662527295000075e-08,False,ok,437.92,408.56,0.07186214999020946,21.81,13.43,-75.0,0.8110136452241714,0.8110136452241714,,0.0,0.425,1.2560136452241715,paper_review_candidate,True,False,False,True,0.14819092930187638,0.2722466642427086,-0.12405573494083222,0.24870695919303945,1.048622694926614,1390643776.361084,0.4780345979736347,0.40954109635168107,0.0,True,0.75,found_relevant,1,0,10,Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points.,0.0,0.75,matched ticker boundary 'TER' with narrative context 'stock',found_relevant,1,0,10,NBIS Stock Rally Rolls On After Record High: Retail Sees 'Shorts Drowning In Losses' As Nasdaq-100 Inclusion Nears,0.0,0.75,matched ticker boundary 'TER' with business context 'contract',TER 泰瑞达 stock catalyst earnings news,0,TER 泰瑞达 orders demand backlog guidance revenue customer contract,0,Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points.; NBIS Stock Rally Rolls On After Record High: Retail Sees 'Shorts Drowning In Losses' As Nasdaq-100 Inclusion Nears,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=3.0662527295000075e-08; narrative=found_relevant; business=found_relevant; quality=MODERATE; risk=WATCH; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,425.1791685570679,463.40170316906733,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=Stocks To Watch Echo AI Theme. GE Vernova Among Five Stocks Near Buy Points. | matched ticker boundary 'TER' with narrative context 'stock'; business=NBIS Stock Rally Rolls On After Record High: Retail Sees 'Shorts Drowning In Losses' As Nasdaq-100 Inclusion Nears | matched ticker boundary 'TER' with business context 'contract'
LUV,西南航空,eastmoney_us,西南航空,6,4,2026-06-18,47.970001220703125,47.970001220703125,11291400.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,47.97,2.544721899866431e-08,False,ok,47.97,46.66,0.028075439348478337,3.41,3.06,-50.0,0.798635477582846,0.798635477582846,,0.0,0.1875,1.036135477582846,paper_review_candidate,True,False,False,True,0.0830887385212411,0.21358878403114345,-0.13050004550990235,0.1900490789814743,0.40489136654158076,284133288.05007935,0.3450198030212107,0.26829287725221035,0.0,True,0.75,found_unrelated,1,0,10,Southwest Airlines (LUV) Is Moving Its Entire Operation To AWS By 2028,0.0,0.0,matched ticker boundary 'LUV' but no narrative context term,found_relevant,1,0,10,Southwest Airlines (LUV) Is Moving Its Entire Operation To AWS By 2028,0.0,0.75,matched ticker boundary 'LUV' with business context 'customer',LUV 西南航空 stock catalyst earnings news,0,LUV 西南航空 orders demand backlog guidance revenue customer contract,0,Southwest Airlines (LUV) Is Moving Its Entire Operation To AWS By 2028,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=2.544721899866431e-08; narrative=found_unrelated; business=found_relevant; quality=STRONG; risk=WATCH; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,46.57436200518799,50.76127965173339,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=UNRELATED: Southwest Airlines (LUV) Is Moving Its Entire Operation To AWS By 2028 | matched ticker boundary 'LUV' but no narrative context term; business=Southwest Airlines (LUV) Is Moving Its Entire Operation To AWS By 2028 | matched ticker boundary 'LUV' with business context 'customer'
UAL,联合航空,eastmoney_us,联合航空,7,5,2026-06-18,118.31999969482422,118.31999969482422,6761800.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,118.32,2.5792408209213136e-09,False,ok,118.32,115.83,0.021497021497021374,2.42,4.49,-50.0,0.7942495126705653,0.7942495126705653,,0.0,0.1875,1.0317495126705654,paper_review_candidate,True,False,False,True,0.05070596797375182,0.20710062994267364,-0.15639466196892182,0.1835609248930045,0.16208655225955915,636218017.3519135,0.2872581745112556,0.22308017497282592,0.0,True,0.75,found_relevant,1,0,10,United Airlines (UAL) Laps the Stock Market: Here's Why,0.0,0.75,matched ticker boundary 'UAL' with narrative context 'stock',found_unrelated,1,0,10,U.S. Global Investors sees tailwind for airline stocks as oil prices slide,0.0,0.0,found business context 'demand' but no company/product match,UAL 联合航空 stock catalyst earnings news,0,UAL 联合航空 orders demand backlog guidance revenue customer contract,0,United Airlines (UAL) Laps the Stock Market: Here's Why,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=2.5792408209213136e-09; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,114.87759762370301,125.20480383706663,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=United Airlines (UAL) Laps the Stock Market: Here's Why | matched ticker boundary 'UAL' with narrative context 'stock'; business=UNRELATED: U.S. Global Investors sees tailwind for airline stocks as oil prices slide | found business context 'demand' but no company/product match
AMD,超威半导体,eastmoney_us,超威半导体,8,8,2026-06-18,537.3699951171875,537.3699951171875,43805600.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,537.37,9.086499996868724e-09,False,ok,537.37,512.48,0.04856774898532623,13.59,2.17,-77.78,0.7806042884990254,0.7806042884990254,,0.0,0.1875,1.0181042884990255,paper_review_candidate,True,False,False,True,0.1001535094432986,0.20061220617250397,-0.10045869672920538,0.17707250112283482,0.08368971579930928,15926820657.202148,0.4536843986961613,0.2064137183227848,0.0,True,0.75,found_relevant,1,0,10,"Analyst Warns Intel Valuation ‘Doesn’t Make Sense.’ Suggests NVIDIA, AMD, Micron, and Broadcom as Alternatives.",0.0,0.75,matched ticker boundary 'AMD' with narrative context 'analyst',found_unrelated,1,0,10,From FAANG to MANGOS — Wall Street is searching for the next 'Magnificent 7': Chart of the Day,0.0,0.0,no company/product/ticker match in title or snippet,AMD 超威半导体 stock catalyst earnings news,0,AMD 超威半导体 orders demand backlog guidance revenue customer contract,0,"Analyst Warns Intel Valuation ‘Doesn’t Make Sense.’ Suggests NVIDIA, AMD, Micron, and Broadcom as Alternatives.",Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=9.086499996868724e-09; narrative=found_relevant; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=NEUTRAL,CANDIDATE_FOR_PAPER_REVIEW,True,,521.735752479248,568.6384803930664,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,"narrative=Analyst Warns Intel Valuation ‘Doesn’t Make Sense.’ Suggests NVIDIA, AMD, Micron, and Broadcom as Alternatives. | matched ticker boundary 'AMD' with narrative context 'analyst'; business=UNRELATED: From FAANG to MANGOS — Wall Street is searching for the next 'Magnificent 7': Chart of the Day | no company/product/ticker match in title or snippet"
SWK,史丹利百得,eastmoney_us,史丹利百得,9,9,2026-06-18,86.75,86.75,2249500.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,86.75,0.0,False,ok,86.75,82.47,0.05189765975506244,1.5,0.66,0.0,0.7789473684210526,0.7789473684210526,,0.0,0.1875,1.0164473684210527,paper_review_candidate,True,False,False,True,0.04354628733532406,0.1693420326391597,-0.12579574530383564,0.14580232758949055,0.4740980328098454,105299823.92883301,0.3072619923484503,0.21483525958431063,0.0,True,0.75,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'shares' but no company/product match,found_relevant,1,0,10,Stanley Black's Engineered Fastening Growth Picks Up: More Upside to Come?,0.0,0.75,matched ticker boundary 'SWK' with business context 'demand',SWK 史丹利百得 stock catalyst earnings news,0,SWK 史丹利百得 orders demand backlog guidance revenue customer contract,0,Stanley Black's Engineered Fastening Growth Picks Up: More Upside to Come?,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. Evidence is partial; keep the candidate under review only if the relevant side is strong.,False,CANDIDATE_FOR_PAPER_REVIEW,True,paper_review_gate_passed,market_pass=True; watchlist_pass=False; relevant_pass=True; strongest_relevance=0.75; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=0.0; narrative=found_unrelated; business=found_relevant; quality=STRONG; risk=WATCH; panel=BEARISH_CONSENSUS,CANDIDATE_FOR_PAPER_REVIEW,True,,84.2260955,91.797809,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'shares' but no company/product match; business=Stanley Black's Engineered Fastening Growth Picks Up: More Upside to Come? | matched ticker boundary 'SWK' with business context 'demand'
IP,国际纸业,eastmoney_us,国际纸业,10,3,2026-06-18,36.81999969482422,36.81999969482422,11515900.0,Yahoo Finance historical kline + EastMoney US realtime quote,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,ok,latest_price,36.82,8.2883155894109e-09,False,ok,36.82,36.16,0.018252212389380684,1.32,0.4,0.0,0.8010721247563353,0.8010721247563353,,0.0,0.0,0.8510721247563353,market_watchlist,True,False,False,True,0.05350497542385435,0.21014470494881965,-0.1566397295249653,0.1866049998991505,0.5285985141398781,193087567.8050995,0.34298474347062335,0.2643176165949118,0.0,True,0.0,found_unrelated,1,1,1,Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up?,0.0,0.0,found narrative context 'shares' but no company/product match,found_unrelated,1,0,10,Is International Paper Stock Underperforming the Nasdaq?,0.0,0.0,no company/product/ticker match in title or snippet,IP 国际纸业 stock catalyst earnings news,0,IP 国际纸业 orders demand backlog guidance revenue customer contract,0,No relevant public catalyst evidence found.,Track 1d/3d/5d/10d closes against the universe. Invalidate on loss of 20d momentum or 5d acceleration. Watch for volume confirmation to fade back below the 20d median. No company-specific public catalyst evidence yet.,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,False,found_unrelated_public_items;relevant_narrative_missing;relevant_business_missing,market_pass=True; watchlist_pass=True; relevant_pass=False; strongest_relevance=0.0; data_source_ok=True; data_source_mismatch=False; quote_cross_check_gap_pct=8.2883155894109e-09; narrative=found_unrelated; business=found_unrelated; quality=STRONG; risk=ELEVATED; panel=BEARISH_CONSENSUS,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,,35.748758623703004,38.96248183706665,2.0,0.1,0.17350410039761435,0.0,1.0,2026-06-19,2026-06-23,2026-06-25,2026-07-02,narrative=UNRELATED: Micron is on an absolute TEAR this morning. How do you find these stocks before they blow up? | found narrative context 'shares' but no company/product match; business=UNRELATED: Is International Paper Stock Underperforming the Nasdaq? | no company/product/ticker match in title or snippet
