symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,market_score,ticket_score,classification,due_close,due_adj_close,forward_return,completed_at
AMD,1,3,2026-06-09,1,2026-06-10,1d,completed,2026-06-10:AMD:1d,475.5050048828125,475.5050048828125,1.0,1.0,MARKET_WATCHLIST_NEEDS_EVIDENCE,467.4400024414063,467.4400024414063,-0.0169609201976619,2026-06-10 21:37:39 CST
AMD,1,3,2026-06-09,3,2026-06-12,3d,completed,2026-06-10:AMD:3d,475.5050048828125,475.5050048828125,1.0,1.0,MARKET_WATCHLIST_NEEDS_EVIDENCE,511.5700073242188,511.5700073242188,0.0758482198083512,2026-06-15 18:25:00 CST
AMD,1,3,2026-06-09,5,2026-06-16,5d,pending,2026-06-10:AMD:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
AMD,1,3,2026-06-09,10,2026-06-23,10d,pending,2026-06-10:AMD:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ADBE,2,2,2026-06-09,1,2026-06-10,1d,completed,2026-06-10:ADBE:1d,237.8800048828125,237.8800048828125,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,232.2949981689453,232.2949981689453,-0.0234782520566138,2026-06-10 21:37:39 CST
ADBE,2,2,2026-06-09,3,2026-06-12,3d,completed,2026-06-10:ADBE:3d,237.8800048828125,237.8800048828125,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,204.0200042724609,204.0200042724609,-0.1424199627105074,2026-06-15 18:25:00 CST
ADBE,2,2,2026-06-09,5,2026-06-16,5d,pending,2026-06-10:ADBE:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ADBE,2,2,2026-06-09,10,2026-06-23,10d,pending,2026-06-10:ADBE:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ALNY,3,5,2026-06-09,1,2026-06-10,1d,completed,2026-06-10:ALNY:1d,297.69000244140625,297.69000244140625,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,294.2250061035156,294.2250061035156,-0.0116396127161598,2026-06-10 21:37:39 CST
ALNY,3,5,2026-06-09,3,2026-06-12,3d,completed,2026-06-10:ALNY:3d,297.69000244140625,297.69000244140625,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,282.8500061035156,282.8500061035156,-0.0498486342785648,2026-06-15 18:25:00 CST
ALNY,3,5,2026-06-09,5,2026-06-16,5d,pending,2026-06-10:ALNY:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ALNY,3,5,2026-06-09,10,2026-06-23,10d,pending,2026-06-10:ALNY:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
HUBB,4,1,2026-06-09,1,2026-06-10,1d,completed,2026-06-10:HUBB:1d,486.4700012207031,486.4700012207031,1.0,1.0,MARKET_WATCHLIST_NEEDS_EVIDENCE,484.0799865722656,484.0799865722656,-0.0049129743713696,2026-06-10 21:37:39 CST
HUBB,4,1,2026-06-09,3,2026-06-12,3d,completed,2026-06-10:HUBB:3d,486.4700012207031,486.4700012207031,1.0,1.0,MARKET_WATCHLIST_NEEDS_EVIDENCE,476.8900146484375,476.8900146484375,-0.0196928619405646,
HUBB,4,1,2026-06-09,5,2026-06-16,5d,completed,2026-06-10:HUBB:5d,486.4700012207031,486.4700012207031,1.0,1.0,MARKET_WATCHLIST_NEEDS_EVIDENCE,509.0650024414063,509.0650024414063,0.0464468542027366,2026-06-17 02:51:15 CST
HUBB,4,1,2026-06-09,10,2026-06-23,10d,completed,2026-06-10:HUBB:10d,486.4700012207031,486.4700012207031,1.0,1.0,MARKET_WATCHLIST_NEEDS_EVIDENCE,509.96,509.96,0.048286633749980906,2026-06-25 03:59:32 CST
ABNB,5,4,2026-06-09,1,2026-06-10,1d,completed,2026-06-10:ABNB:1d,131.35000610351562,131.35000610351562,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,129.31500244140625,129.31500244140625,-0.0154929849071008,2026-06-10 21:37:39 CST
ABNB,5,4,2026-06-09,3,2026-06-12,3d,completed,2026-06-10:ABNB:3d,131.35000610351562,131.35000610351562,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,132.27999877929688,132.27999877929688,0.0070802800583964,2026-06-15 18:25:00 CST
ABNB,5,4,2026-06-09,5,2026-06-16,5d,pending,2026-06-10:ABNB:5d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
ABNB,5,4,2026-06-09,10,2026-06-23,10d,pending,2026-06-10:ABNB:10d,,,,,MARKET_WATCHLIST_NEEDS_EVIDENCE,,,,
