symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
TSLA,1,1,2026-06-17,1,2026-06-18,1d,completed,2026-06-18-smoke:TSLA:1d,403.7799987792969,403.7799987792969,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001485987936116,False,0.8442857142857141,0.0,0.8942857142857141,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,394.38193855170897,431.9741794620605,2.0,0.08,0.1735041003976143,0.0,400.489990234375,400.489990234375,-0.0081480225738476,2026-06-21 20:41:18 CST
TSLA,1,1,2026-06-17,3,2026-06-22,3d,completed,2026-06-18-smoke:TSLA:3d,403.7799987792969,403.7799987792969,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001485987936116,False,0.8442857142857141,0.0,0.8942857142857141,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,394.38193855170897,431.9741794620605,2.0,0.08,0.1735041003976143,0.0,405.05,405.05,0.0031452801638084,2026-06-24 03:27:15 CST
TSLA,1,1,2026-06-17,5,2026-06-24,5d,completed,2026-06-18-smoke:TSLA:5d,403.7799987792969,403.7799987792969,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001485987936116,False,0.8442857142857141,0.0,0.8942857142857141,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,394.38193855170897,431.9741794620605,2.0,0.08,0.1735041003976143,0.0,375.53,375.53,-0.06996383888429833,2026-06-25 10:01:22 CST
TSLA,1,1,2026-06-17,10,2026-07-01,10d,pending,2026-06-18-smoke:TSLA:10d,403.7799987792969,403.7799987792969,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001485987936116,False,0.8442857142857141,0.0,0.8942857142857141,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,394.38193855170897,431.9741794620605,2.0,0.08,0.1735041003976143,0.0,,,,
AAPL,2,2,2026-06-17,1,2026-06-18,1d,completed,2026-06-18-smoke:AAPL:1d,297.37750244140625,297.37750244140625,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001260941338396,False,0.5442857142857143,0.0,0.5942857142857143,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,290.45598159658203,318.1420649758789,2.0,0.08,0.1735041003976143,0.0,298.010009765625,298.010009765625,0.0021269508252171,2026-06-21 20:41:18 CST
AAPL,2,2,2026-06-17,3,2026-06-22,3d,completed,2026-06-18-smoke:AAPL:3d,297.37750244140625,297.37750244140625,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001260941338396,False,0.5442857142857143,0.0,0.5942857142857143,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,290.45598159658203,318.1420649758789,2.0,0.08,0.1735041003976143,0.0,297.01,297.01,-0.001235811177339,2026-06-24 03:27:15 CST
AAPL,2,2,2026-06-17,5,2026-06-24,5d,completed,2026-06-18-smoke:AAPL:5d,297.37750244140625,297.37750244140625,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001260941338396,False,0.5442857142857143,0.0,0.5942857142857143,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,290.45598159658203,318.1420649758789,2.0,0.08,0.1735041003976143,0.0,293.08,293.08,-0.014451336789517304,2026-06-25 10:01:22 CST
AAPL,2,2,2026-06-17,10,2026-07-01,10d,pending,2026-06-18-smoke:AAPL:10d,297.37750244140625,297.37750244140625,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,0.0001260941338396,False,0.5442857142857143,0.0,0.5942857142857143,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,290.45598159658203,318.1420649758789,2.0,0.08,0.1735041003976143,0.0,,,,
GOOGL,3,3,2026-06-17,1,2026-06-18,1d,completed,2026-06-18-smoke:GOOGL:1d,364.9555969238281,364.9555969238281,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.2064690085411556e-05,False,0.4871428571428571,0.0,0.5371428571428571,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,356.4611824143067,390.43884045239247,2.0,0.08,0.1735041003976143,0.0,368.0299987792969,368.0299987792969,0.0084240435860761,2026-06-21 20:41:19 CST
GOOGL,3,3,2026-06-17,3,2026-06-22,3d,completed,2026-06-18-smoke:GOOGL:3d,364.9555969238281,364.9555969238281,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.2064690085411556e-05,False,0.4871428571428571,0.0,0.5371428571428571,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,356.4611824143067,390.43884045239247,2.0,0.08,0.1735041003976143,0.0,349.68,349.68,-0.0418560423585348,2026-06-24 03:27:16 CST
GOOGL,3,3,2026-06-17,5,2026-06-24,5d,completed,2026-06-18-smoke:GOOGL:5d,364.9555969238281,364.9555969238281,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.2064690085411556e-05,False,0.4871428571428571,0.0,0.5371428571428571,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,356.4611824143067,390.43884045239247,2.0,0.08,0.1735041003976143,0.0,345.29,345.29,-0.053884902956927716,2026-06-25 10:01:23 CST
GOOGL,3,3,2026-06-17,10,2026-07-01,10d,pending,2026-06-18-smoke:GOOGL:10d,364.9555969238281,364.9555969238281,Yahoo Finance historical kline,EastMoney US realtime/delayed quote + kline,1.2064690085411556e-05,False,0.4871428571428571,0.0,0.5371428571428571,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,356.4611824143067,390.43884045239247,2.0,0.08,0.1735041003976143,0.0,,,,
