symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
MRNA,1,1,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-full:MRNA:1d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6944564372045092,0.525,1.2394564372045092,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,61.0,61.0,0.0278877748757267,2026-06-25 03:59:28 CST
MRNA,1,1,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-full:MRNA:3d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6944564372045092,0.525,1.2394564372045092,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,60.42,60.42,0.0181144157047772,2026-06-25 10:05:22 CST
MRNA,1,1,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-full:MRNA:5d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6944564372045092,0.525,1.2394564372045092,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,,,,
MRNA,1,1,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-full:MRNA:10d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6944564372045092,0.525,1.2394564372045092,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,81.8,81.8,0.3783806554890892,2026-07-08 20:55:01 CST
TER,2,2,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-full:TER:1d,457.0,457.0,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.5251985878776622,0.1875,0.7626985878776622,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,446.3632336,488.9102992,2.0,0.08,0.1735041003976143,0.0,420.12,420.12,-0.0807002188183807,2026-06-25 03:59:28 CST
TER,2,2,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-full:TER:3d,457.0,457.0,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.5251985878776622,0.1875,0.7626985878776622,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,446.3632336,488.9102992,2.0,0.08,0.1735041003976143,0.0,427.2,427.2,-0.0652078774617068,2026-06-25 10:05:22 CST
TER,2,2,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-full:TER:5d,457.0,457.0,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.5251985878776622,0.1875,0.7626985878776622,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,446.3632336,488.9102992,2.0,0.08,0.1735041003976143,0.0,,,,
TER,2,2,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-full:TER:10d,457.0,457.0,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.5251985878776622,0.1875,0.7626985878776622,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,446.3632336,488.9102992,2.0,0.08,0.1735041003976143,0.0,379.52,379.52,-0.16954048140043768,2026-07-08 20:55:01 CST
SW,3,3,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-full:SW:1d,45.39,45.39,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.0889010211613475,0.2375,0.3764010211613475,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.333538672,48.559383984,2.0,0.08,0.1735041003976143,0.0,44.36,44.36,-0.0226922229565983,2026-06-25 03:59:29 CST
SW,3,3,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-full:SW:3d,45.39,45.39,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.0889010211613475,0.2375,0.3764010211613475,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.333538672,48.559383984,2.0,0.08,0.1735041003976143,0.0,46.56,46.56,0.0257766027759418,2026-06-25 10:05:23 CST
SW,3,3,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-full:SW:5d,45.39,45.39,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.0889010211613475,0.2375,0.3764010211613475,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.333538672,48.559383984,2.0,0.08,0.1735041003976143,0.0,,,,
SW,3,3,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-full:SW:10d,45.39,45.39,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.0889010211613475,0.2375,0.3764010211613475,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,44.333538672,48.559383984,2.0,0.08,0.1735041003976143,0.0,45.64,45.64,0.005507821105970478,2026-07-08 20:55:01 CST
