symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
MRNA,1,1,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-latest:MRNA:1d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.7467439366215355,0.525,1.2917439366215355,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.61841657,62.79816686,2.0,0.1,0.1735041003976143,0.0,61.0,61.0,0.0278877748757267,2026-06-25 03:59:17 CST
MRNA,1,1,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-latest:MRNA:3d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.7467439366215355,0.525,1.2917439366215355,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.61841657,62.79816686,2.0,0.1,0.1735041003976143,0.0,60.42,60.42,0.0181144157047772,2026-06-25 10:05:18 CST
MRNA,1,1,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-latest:MRNA:5d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.7467439366215355,0.525,1.2917439366215355,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.61841657,62.79816686,2.0,0.1,0.1735041003976143,0.0,,,,
MRNA,1,1,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-latest:MRNA:10d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.7467439366215355,0.525,1.2917439366215355,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.61841657,62.79816686,2.0,0.1,0.1735041003976143,0.0,81.8,81.8,0.3783806554890892,2026-07-08 20:54:58 CST
GE,2,3,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-latest:GE:1d,355.12,355.12,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6274919447072695,0.525,1.1724919447072697,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,344.78813872,375.78372256,2.0,0.1,0.1735041003976143,0.0,356.47,356.47,0.0038015318765488,2026-06-25 03:59:21 CST
GE,2,3,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-latest:GE:3d,355.12,355.12,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6274919447072695,0.525,1.1724919447072697,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,344.78813872,375.78372256,2.0,0.1,0.1735041003976143,0.0,365.88,365.88,0.0302996170308627,2026-06-25 10:05:19 CST
GE,2,3,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-latest:GE:5d,355.12,355.12,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6274919447072695,0.525,1.1724919447072697,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,344.78813872,375.78372256,2.0,0.1,0.1735041003976143,0.0,,,,
GE,2,3,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-latest:GE:10d,355.12,355.12,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6274919447072695,0.525,1.1724919447072697,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,344.78813872,375.78372256,2.0,0.1,0.1735041003976143,0.0,378.68,378.68,0.06634377111962154,2026-07-08 20:54:58 CST
TECH,3,5,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-latest:TECH:1d,55.61,55.61,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.5641028301196707,0.525,1.1391028301196708,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,53.99208266,58.84583468,2.0,0.1,0.1735041003976143,0.0,56.26,56.26,0.0116885452256788,2026-06-25 03:59:23 CST
TECH,3,5,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-latest:TECH:3d,55.61,55.61,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.5641028301196707,0.525,1.1391028301196708,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,53.99208266,58.84583468,2.0,0.1,0.1735041003976143,0.0,58.875,58.875,0.0587124617874483,2026-06-25 10:05:19 CST
