symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
MRNA,1,1,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-v2:MRNA:1d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6318550477326466,0.525,1.1768550477326465,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,61.0,61.0,0.0278877748757267,2026-06-25 03:59:26 CST
MRNA,1,1,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-v2:MRNA:3d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6318550477326466,0.525,1.1768550477326465,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,60.42,60.42,0.0181144157047772,2026-06-25 10:05:21 CST
MRNA,1,1,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-v2:MRNA:5d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6318550477326466,0.525,1.1768550477326465,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,,,,
MRNA,1,1,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-v2:MRNA:10d,59.345,59.345,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.6318550477326466,0.525,1.1768550477326465,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,57.963733256,63.488800232,2.0,0.08,0.1735041003976143,0.0,81.8,81.8,0.3783806554890892,2026-07-08 20:55:00 CST
STX,2,3,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-v2:STX:1d,1094.04,1094.04,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.4224779540856218,0.425,0.8974779540856219,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,1068.576000192,1170.431999424,2.0,0.08,0.1735041003976143,0.0,1037.85,1037.85,-0.0513600965229791,2026-06-25 03:59:26 CST
STX,2,3,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-v2:STX:3d,1094.04,1094.04,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.4224779540856218,0.425,0.8974779540856219,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,1068.576000192,1170.431999424,2.0,0.08,0.1735041003976143,0.0,993.25,993.25,-0.0921264304778618,2026-06-25 10:05:21 CST
STX,2,3,2026-06-22,5,2026-06-29,5d,pending,2026-06-23-v2:STX:5d,1094.04,1094.04,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.4224779540856218,0.425,0.8974779540856219,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,1068.576000192,1170.431999424,2.0,0.08,0.1735041003976143,0.0,,,,
STX,2,3,2026-06-22,10,2026-07-06,10d,completed,2026-06-23-v2:STX:10d,1094.04,1094.04,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.4224779540856218,0.425,0.8974779540856219,True,False,False,True,MARKET_WATCHLIST_NEEDS_EVIDENCE,True,1068.576000192,1170.431999424,2.0,0.08,0.1735041003976143,0.0,868.26,868.26,-0.20637271032137763,2026-07-08 20:55:00 CST
GE,3,4,2026-06-22,1,2026-06-23,1d,completed,2026-06-23-v2:GE:1d,355.12,355.12,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.3106030558183807,0.525,0.8556030558183807,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,346.85451097600003,379.916467072,2.0,0.08,0.1735041003976143,0.0,356.47,356.47,0.0038015318765488,2026-06-25 03:59:27 CST
GE,3,4,2026-06-22,3,2026-06-25,3d,completed,2026-06-23-v2:GE:3d,355.12,355.12,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,0.3106030558183807,0.525,0.8556030558183807,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,346.85451097600003,379.916467072,2.0,0.08,0.1735041003976143,0.0,365.88,365.88,0.0302996170308627,2026-06-25 10:05:21 CST
