symbol,ticket_rank,market_rank,as_of_date,horizon_days,due_date,review_window,check_status,track_key,as_of_close,as_of_adj_close,kline_source,quote_source,quote_cross_check_gap_pct,data_source_mismatch,market_score,catalyst_score,ticket_score,research_only,allow_trade,auto_order,no_broker_api,classification,risk_allowed,risk_stop_loss,risk_take_profit,risk_reward_ratio,risk_position_size_pct,risk_kelly_fraction,risk_score,due_close,due_adj_close,forward_return,completed_at
DAL,1,1,2026-06-24,1,2026-06-25,1d,completed,2026-06-25-final:DAL:1d,90.65,90.65,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1424859997819437,0.0,1.1924859997819437,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,88.01262890000001,95.9247422,2.0,0.1,0.1735041003976143,0.0,93.06,93.06,0.0265857694429122,2026-06-26 01:22:07 CST
DAL,1,1,2026-06-24,3,2026-06-29,3d,pending,2026-06-25-final:DAL:3d,90.65,90.65,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1424859997819437,0.0,1.1924859997819437,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,88.01262890000001,95.9247422,2.0,0.1,0.1735041003976143,0.0,,,,
DAL,1,1,2026-06-24,5,2026-07-01,5d,pending,2026-06-25-final:DAL:5d,90.65,90.65,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1424859997819437,0.0,1.1924859997819437,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,88.01262890000001,95.9247422,2.0,0.1,0.1735041003976143,0.0,,,,
DAL,1,1,2026-06-24,10,2026-07-08,10d,completed,2026-06-25-final:DAL:10d,90.65,90.65,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1424859997819437,0.0,1.1924859997819437,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,88.01262890000001,95.9247422,2.0,0.1,0.1735041003976143,0.0,88.63,88.63,-0.022283507997793824,2026-07-08 20:55:01 CST
CAT,2,2,2026-06-24,1,2026-06-25,1d,completed,2026-06-25-final:CAT:1d,994.45,994.45,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1315821881448007,0.0,1.1815821881448008,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,965.5174717,1052.3150566,2.0,0.1,0.1735041003976143,0.0,1047.055,1047.055,0.0528985871587309,2026-06-26 01:22:08 CST
CAT,2,2,2026-06-24,3,2026-06-29,3d,pending,2026-06-25-final:CAT:3d,994.45,994.45,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1315821881448007,0.0,1.1815821881448008,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,965.5174717,1052.3150566,2.0,0.1,0.1735041003976143,0.0,,,,
CAT,2,2,2026-06-24,5,2026-07-01,5d,pending,2026-06-25-final:CAT:5d,994.45,994.45,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1315821881448007,0.0,1.1815821881448008,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,965.5174717,1052.3150566,2.0,0.1,0.1735041003976143,0.0,,,,
CAT,2,2,2026-06-24,10,2026-07-08,10d,completed,2026-06-25-final:CAT:10d,994.45,994.45,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.1315821881448007,0.0,1.1815821881448008,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,965.5174717,1052.3150566,2.0,0.1,0.1735041003976143,0.0,940.12,940.12,-0.054633214339584735,2026-07-08 20:55:01 CST
MU,3,3,2026-06-24,1,2026-06-25,1d,completed,2026-06-25-final:MU:1d,1048.51,1048.51,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.131567104275804,0.0,1.181567104275804,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,1018.00465006,1109.52069988,2.0,0.1,0.1735041003976143,0.0,1217.617,1217.617,0.1612831541902318,2026-06-26 01:22:08 CST
MU,3,3,2026-06-24,3,2026-06-29,3d,pending,2026-06-25-final:MU:3d,1048.51,1048.51,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.131567104275804,0.0,1.181567104275804,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,1018.00465006,1109.52069988,2.0,0.1,0.1735041003976143,0.0,,,,
MU,3,3,2026-06-24,5,2026-07-01,5d,pending,2026-06-25-final:MU:5d,1048.51,1048.51,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.131567104275804,0.0,1.181567104275804,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,1018.00465006,1109.52069988,2.0,0.1,0.1735041003976143,0.0,,,,
MU,3,3,2026-06-24,10,2026-07-08,10d,completed,2026-06-25-final:MU:10d,1048.51,1048.51,EastMoney US historical kline,EastMoney US realtime/delayed quote + kline,0.0,False,1.131567104275804,0.0,1.181567104275804,True,False,False,True,CANDIDATE_FOR_PAPER_REVIEW,True,1018.00465006,1109.52069988,2.0,0.1,0.1735041003976143,0.0,938.38,938.38,-0.10503476361694214,2026-07-08 20:55:01 CST
